id;name;description;type;matching_rules;created;updated
1;Caicos;Philippine connect solutions;POST_CODE;FIRST_LEG_ONLY;2021-05-12T10:21:25;2021-05-12T13:15:31
2;deposit;Bedfordshire eyeballs;POST_CODE;NOT_ALLOWED;2021-05-12T17:38:27;2021-05-12T16:51:22
3;Silver product Director;Rial Bedfordshire Keyboard;POST_CODE;NOT_ALLOWED;2021-05-12T11:19:04;2021-05-12T21:52:43
4;Colorado Idaho withdrawal;matrix Philippine payment;ZONE;STRINCT;2021-05-12T20:42:28;2021-05-12T11:18:59
5;Loan encoding;Computer programming niches;ZONE;NOT_ALLOWED;2021-05-12T21:14:08;2021-05-13T02:02:16
6;SMTP Cambridgeshire;reboot Beauty;POST_CODE;STRINCT;2021-05-12T22:53:59;2021-05-13T05:51:21
7;out-of-the-box Checking;overriding system Niue;ZONE;FIRST_LEG_ONLY;2021-05-13T00:46:55;2021-05-12T23:29:38
8;clear-thinking Courts;Australia;POST_CODE;STRINCT;2021-05-13T01:08:53;2021-05-12T10:32:52
9;Qatari connect;PCI Central exuding;POST_CODE;STRINCT;2021-05-13T00:05:41;2021-05-13T03:11:35
10;Buckinghamshire dynamic;Granite;ZONE;FIRST_LEG_ONLY;2021-05-12T10:29:53;2021-05-12T14:08:16
