id;jhi_from;jhi_to;value;value_reverse;created;updated;list_id
1;proactive;transmitting;48728;76688;2021-05-12T19:14:05;2021-05-12T17:46:27;1
2;Roads;programming Shoes Toys;4635;4661;2021-05-12T21:09:46;2021-05-12T15:14:40;2
3;Marketing Global;benchmark Incredible;84397;68162;2021-05-12T15:08:20;2021-05-12T13:18:00;3
4;mobile Fresh;Concrete Keyboard;39429;84588;2021-05-12T11:11:22;2021-05-13T04:36:29;4
5;management;Steel;75119;178;2021-05-13T01:11:59;2021-05-12T11:50:49;5
6;Views Mexico bypass;withdrawal Shirt Practical;74814;28778;2021-05-12T10:45:05;2021-05-12T09:05:20;6
7;Alley;Rubber Consultant;83284;70718;2021-05-12T11:23:00;2021-05-13T04:56:35;7
8;Brunei backing back-end;Cotton Steel;56170;13248;2021-05-12T18:11:14;2021-05-13T00:05:48;8
9;invoice Tasty transitional;Bacon haptic Shoes;26679;59628;2021-05-12T18:38:12;2021-05-12T11:41:20;9
10;synthesize;Leone copying transition;68987;64705;2021-05-12T15:44:27;2021-05-13T02:38:02;10
