id;name;description;type;charge_by;json_data;created;updated
1;non-volatile;red Incredible capacitor;FLAT;DISTANCE;viral secondary needs-based;2021-05-12T16:08:10;2021-05-13T08:05:40
2;payment;blue;IMPULSE;VIA;CSS Borders Data;2021-05-12T10:14:11;2021-05-12T20:11:59
3;redundant Refined Orchestrator;input vertical;IMPULSE;DISTANCE;mission-critical Rustic salmon;2021-05-12T08:41:43;2021-05-12T15:38:45
4;Towels bandwidth-monitored;Product;IMPULSE;TIME;Pizza next-generation Cotton;2021-05-13T02:07:12;2021-05-12T20:06:23
5;Wells;connect;FLAT;VIA;1080p Lane Books;2021-05-12T23:44:02;2021-05-12T08:53:45
6;Virginia Bike models;Money;IMPULSE;TIME;content-based;2021-05-12T21:59:02;2021-05-13T02:36:33
7;Pound networks;proactive;IMPULSE;TIME;Cambridgeshire withdrawal;2021-05-12T13:06:39;2021-05-13T07:49:57
8;olive;Loop;FLAT;TIME;invoice deposit Kwacha;2021-05-12T18:48:40;2021-05-12T09:54:06
9;Berkshire Investment;Steel;FLAT;TIME;invoice Frozen;2021-05-13T07:05:57;2021-05-12T10:24:49
10;platforms;deposit;IMPULSE;TIME;Configurable Missouri Human;2021-05-12T08:37:30;2021-05-12T18:44:41
