id;name;description;valid_from;valid_to;created;updated
1;Berkshire reboot Saudi;back-end;2021-05-12T19:49:27;2021-05-12T22:14:10;2021-05-12T22:09:42;2021-05-12T17:17:19
2;driver Metal;customized;2021-05-12T18:48:22;2021-05-12T15:24:52;2021-05-12T21:15:13;2021-05-12T22:29:37
3;payment;hacking blue;2021-05-12T11:46:50;2021-05-12T12:15:22;2021-05-12T21:58:14;2021-05-12T08:59:39
4;Tuna protocol deposit;transform revolutionize;2021-05-12T10:04:05;2021-05-12T14:19:29;2021-05-12T22:42:44;2021-05-13T07:57:27
5;Research Won;haptic Sausages focus;2021-05-12T23:05:25;2021-05-13T06:00:40;2021-05-12T21:35:04;2021-05-13T02:39:47
6;wireless;Delaware Fork;2021-05-12T12:43:26;2021-05-12T18:38:05;2021-05-12T21:37:15;2021-05-12T20:45:08
7;whiteboard;Fresh Credit protocol;2021-05-12T22:28:45;2021-05-12T16:56:32;2021-05-12T16:25:00;2021-05-12T18:18:48
8;Re-engineered;Supervisor;2021-05-13T05:35:54;2021-05-12T15:16:29;2021-05-12T13:53:31;2021-05-12T20:36:48
9;Loan Cotton;Buckinghamshire benchmark Pennsylvania;2021-05-13T06:26:48;2021-05-12T09:51:20;2021-05-12T10:36:22;2021-05-12T14:38:26
10;SMS;tertiary Lodge;2021-05-12T14:51:36;2021-05-12T17:13:40;2021-05-13T08:06:28;2021-05-12T20:09:04
