id;name;description;invoice_as;charge_by;created;updated;offer_id
1;incubate Borders Directives;Rustic Nebraska transmit;calculating Plaza overriding;TIME;2021-05-13T06:14:39;2021-05-13T00:58:34;1
2;Keyboard;HDD CSS;Progressive Loan;DISTANCE;2021-05-12T13:41:43;2021-05-12T16:44:14;2
3;Diverse;Metal;leverage;VIA;2021-05-12T22:32:09;2021-05-12T18:01:53;3
4;Internal;invoice Pants orchid;Account Pennsylvania;TIME;2021-05-12T11:33:19;2021-05-12T22:46:32;4
5;Electronics Toys tan;Unbranded 6th;Plastic port;VIA;2021-05-12T21:49:39;2021-05-12T12:21:05;5
6;Avon Operative Producer;Practical;Unbranded Versatile;VIA;2021-05-13T01:11:32;2021-05-13T03:30:31;6
7;feed implementation IB;Account Keyboard;bypassing superstructure;VIA;2021-05-12T14:51:21;2021-05-13T07:17:40;7
8;Clothing;Paradigm RSS Associate;Orchestrator Assimilated Movies;TIME;2021-05-12T09:08:14;2021-05-13T00:50:06;8
9;Technician;circuit architecture;Tactics portals;TIME;2021-05-12T17:43:08;2021-05-12T14:27:37;9
10;Lock;Rustic Ergonomic;Chicken;TIME;2021-05-13T00:50:24;2021-05-13T07:22:23;10
