id;name;description;bill_company_pays;customer_pays;taxi_gets;taxi_pays;created;updated;group_id
1;encompassing Specialist;connect programming;31663;84407;23260;69746;2021-05-12T10:52:21;2021-05-12T13:50:21;1
2;Engineer;distributed;35065;61125;18895;92005;2021-05-13T03:10:38;2021-05-13T07:21:28;2
3;Pennsylvania end-to-end sensor;synthesizing Rustic;9970;27477;45273;41935;2021-05-13T04:02:05;2021-05-13T08:17:54;3
4;indexing hacking Chips;Home Guiana analyzing;35430;88936;37244;34186;2021-05-12T20:39:38;2021-05-12T14:18:48;4
5;SSL;Sausages Dynamic;31108;55723;90379;20853;2021-05-13T08:46:35;2021-05-12T17:43:37;5
6;Concrete Investor;Algeria Leone Gorgeous;82140;74628;88727;10051;2021-05-12T11:00:42;2021-05-12T11:34:25;6
7;cohesive Bedfordshire;Account;31863;51;89552;17715;2021-05-13T07:38:07;2021-05-13T00:59:18;7
8;reinvent Gloves;Plastic Baby Auto;25500;71546;25350;88420;2021-05-13T05:18:10;2021-05-12T09:50:49;8
9;haptic Health Borders;application repurpose;28149;81985;70909;52858;2021-05-12T17:48:11;2021-05-13T02:45:46;9
10;port;Corner;35969;2277;84792;29435;2021-05-12T18:00:48;2021-05-12T18:22:54;10
