id;day;hours;created;updated;range_id
1;benchmark Utah relationships;Birr Kiribati;2021-05-12T23:00:44;2021-05-12T17:10:43;1
2;technologies;networks Handmade;2021-05-12T20:24:52;2021-05-12T11:16:08;2
3;Texas;quantifying Lane;2021-05-12T14:16:25;2021-05-12T21:11:58;3
4;Synchronised Mouse;Paradigm e-tailers;2021-05-12T23:49:40;2021-05-13T06:08:01;4
5;grey open-source;JBOD connecting XSS;2021-05-12T21:29:12;2021-05-12T18:31:20;5
6;Specialist Small and;Salad;2021-05-12T20:27:16;2021-05-13T08:10:05;6
7;Borders Tuna;Direct;2021-05-13T01:19:07;2021-05-13T00:00:17;7
8;Taka Unbranded Operative;Automotive supply-chains;2021-05-12T13:08:51;2021-05-12T18:53:04;8
9;Luxembourg;synthesize Wooden Chair;2021-05-13T03:25:54;2021-05-13T04:59:48;9
10;Nevada e-markets Glens;markets;2021-05-13T02:02:04;2021-05-12T19:54:46;10
